"","Treat","Plot","Year","Trt.num","Spray_frequency","NMDS1","NMDS2"
"144","CR->P","39","2017",3,"Rhiz_epi",-0.0814000088282399,-0.0156326480864699
"145","CRP","24","2019",4,"Pucc_epi",-0.175431114781655,-0.306567154490368
"146","CRP","32","2019",4,"Pucc_epi",-0.188184894294423,-0.288233035224476
"147","CRP","33","2019",4,"Pucc_epi",1.23182232574653,0.0561897396032794
"148","CRP","3","2019",4,"Pucc_epi",-0.190755696858512,0.01216296597986
"149","CRP","3","2018",4,"Pucc_epi",-0.163744654782415,0.00118755171602756
"150","CRP","24","2018",4,"Pucc_epi",-0.272058821805234,-0.793875075240415
"151","CRP","49","2017",4,"Pucc_epi",-0.0799429786170054,-0.0158014516383977
"152","CRP","49","2018",4,"Pucc_epi",-0.10341467576103,0.01624229350787
"153","CRP","33","2018",4,"Pucc_epi",1.10008400888425,0.0484844590796268
"154","CRP","3","2017",4,"Pucc_epi",-0.0710028683565279,-0.0155858139944242
"155","CRP","41","2018",4,"Pucc_epi",-0.112583810294238,-0.0113844664034844
"156","CRP","41","2019",4,"Pucc_epi",-0.0614062091081121,0.00953312312239663
"157","CRP","42","2017",4,"Pucc_epi",-0.0696780680790287,-0.00967021724647002
"158","CRP","24","2017",4,"Pucc_epi",-0.0895871963087575,-0.0618146861538364
"159","CRP","48","2019",4,"Pucc_epi",-0.0933408495669049,0.0911985404427557
"160","CRP","32","2017",4,"Pucc_epi",-0.0785168614548064,-0.0462465696916624
"161","CRP","32","2018",4,"Pucc_epi",-0.120403048397892,-0.0882825491248421
"162","CRP","33","2017",4,"Pucc_epi",0.00224056710996788,-0.00353487365137197
"163","CRP","45","2019",4,"Pucc_epi",-0.0866723171344054,-0.0100976002567502
"164","CRP","58","2017",4,"Pucc_epi",-0.084033770860168,0.0800596731530607
"165","CRP","58","2018",4,"Pucc_epi",-0.16673106100503,0.476703073026853
"166","CRP","58","2019",4,"Pucc_epi",-0.08575424120155,1.34668471828308
"167","CRP","48","2017",4,"Pucc_epi",-0.0606785644416338,0.0298650934614075
"168","CRP","48","2018",4,"Pucc_epi",-0.26013076382546,0.0117950159234337
"169","CRP","60","2017",4,"Pucc_epi",-0.0486638826275471,0.00514303414595459
"170","CRP","60","2018",4,"Pucc_epi",-0.138354348595168,-0.00654020714954693
"171","CRP","45","2017",4,"Pucc_epi",-0.0809374562203586,-0.00430753641417178
"172","CRP","45","2018",4,"Pucc_epi",-0.125574637191822,-0.0165889927955907
"173","CRP","5","2017",4,"Pucc_epi",-0.0800640556772182,-0.0168720921064136
"174","CRP","5","2018",4,"Pucc_epi",-0.228573847402437,-0.109491585935322
"175","CRP","5","2019",4,"Pucc_epi",0.010580179201068,-0.0646050805330273
"176","CRP","42","2018",4,"Pucc_epi",-0.150873858703345,0.0469358174976148
"177","CRP","42","2019",4,"Pucc_epi",-0.0936502208580128,-0.0129708245198626
"178","CRP","27","2017",4,"Pucc_epi",-0.080191014064431,-0.0208465863354663
"179","CRP","27","2018",4,"Pucc_epi",-0.137952617122362,-0.0941296651639108
"180","CRP","27","2019",4,"Pucc_epi",-0.186852992780669,-0.212690960433705
"181","CRP","64","2017",4,"Pucc_epi",-0.228866128593783,-0.0650108864709402
"182","CRP","64","2018",4,"Pucc_epi",-0.367280901855777,-0.127653450254345
"183","CRP","64","2019",4,"Pucc_epi",-0.665720923762982,0.139616626418249
"184","CRP","60","2019",4,"Pucc_epi",-0.126736141622744,0.00900117287728111
"185","CRP","49","2019",4,"Pucc_epi",-0.10330078535305,0.0236120604275068
"186","CRP","41","2017",4,"Pucc_epi",-0.0582918932181885,-0.0132836820452931
"187","CRP","8","2017",4,"Pucc_epi",-0.0880268019284245,-0.0487504604963617
"188","CRP","8","2018",4,"Pucc_epi",-0.10352384070308,-0.140319437680939
"189","CRP","8","2019",4,"Pucc_epi",-0.0351038802014572,-0.150075345752452
"190","CRP","9","2017",4,"Pucc_epi",0.322512373890776,0.0201146285786075
"191","CRP","9","2018",4,"Pucc_epi",4.150871568957,-0.0214128221548509
"192","CRP","9","2019",4,"Pucc_epi",4.25802055419455,-0.0517482319857098
