"","Plot","Year","Treat","Trt.num","Spray_frequency","log_biomass","AUDPS_parasite","Anthracnose","Rhiz","Rust","grass_zscore","NMDS1","NMDS2"
"35","2","2018","CR->P",3,"Rhiz_epi",2.87931899331981,116.556005587779,111.301302544343,8.80470753985756,35.1777799665124,NA,-0.134434143807397,0.0293394774631487
"36","2","2019","CR->P",3,"Rhiz_epi",3.07261747654524,58.7958569678987,52.3496171852011,7.42191402912807,3.44262295081968,NA,-0.151366706826113,0.041415735507072
"37","20","2017","C->R->P",2,"Never",2.91112206441192,138.754108752954,106.549592318207,54.2307988315755,46.6655201858539,NA,-0.182520482643555,0.0749345856037335
"38","20","2018","C->R->P",2,"Never",2.7361840843199,134.412448078198,124.093353715582,15.8489374974876,48.2021743139126,NA,0.221312639006963,0.411990720704005
"39","20","2019","C->R->P",2,"Never",2.89320675305985,91.807251314531,86.7138727067211,9.70683899340563,7.38539898132427,NA,-0.0293809003721583,0.213769954596061
"40","21","2017","Control",1,"Always",2.91263531669965,76.8775936706971,66.5379907448872,11.1774145394835,4.68375876996567,NA,-0.188244573231544,0.0745229211370858
"41","21","2018","Control",1,"Always",3.0732790693647,78.0777316891232,75.9348745462661,0.476190476190477,1.25,NA,-0.128571825818048,0.0296667347091908
"42","21","2019","Control",1,"Always",3.14705767102836,10.5930735930736,9.54761904761906,0.500000000000001,0,NA,-0.202860239008362,0.0776808565042849
"43","22","2017","Control",1,"Always",2.95625383973006,73.9617926660018,68.5889214093225,6.17096536031247,2.02803516274649,NA,-0.190253032139357,0.063778287012441
"44","22","2018","Control",1,"Always",2.98143327730349,98.8665046214347,97.631722012739,0,0,NA,-0.116323882745616,0.0484889464052659
"45","22","2019","Control",1,"Always",3.13735411137073,12.9432560047479,12.9432560047479,0,0,NA,-0.122125536620757,0.0818598436661735
"46","23","2017","C->R->P",2,"Never",2.98355610884686,141.149746533977,123.59646523402,25.6580138747107,39.8537012008029,NA,-0.177887775231133,0.0588311451288854
"47","23","2018","C->R->P",2,"Never",2.74425268185494,139.459156508337,126.615894343707,11.5374879815242,30.1895078101974,NA,-0.0216131945152875,0.00263934047914278
"48","23","2019","C->R->P",2,"Never",2.96894968098134,111.801801527273,103.639116441933,13.5088148496137,1.86595949855352,NA,-0.0575723843912156,0.0808219492524864
"49","24","2017","CRP",4,"Pucc_epi",2.94060502815236,104.744031884668,91.6056184463215,16.8060349662677,5.64679030130625,NA,-0.125892871779862,0.0855755047247119
"50","24","2018","CRP",4,"Pucc_epi",2.94324935228334,111.632068280316,108.558008719187,1.32513661202186,13.4471003134796,NA,0.372202292387369,0.605405456626189
"51","24","2019","CRP",4,"Pucc_epi",3.12385164096709,23.5786177192566,19.4388538813996,2.51716768401091,0.46875,NA,-0.0138940660348673,0.310913488239024
"52","25","2017","CR->P",3,"Rhiz_epi",2.92510572680966,134.420079884881,131.293395248762,5.88349805330938,25.5754256225954,NA,-0.173418019039407,0.0582611151806171
"53","25","2018","CR->P",3,"Rhiz_epi",2.84923017497749,125.766530269582,123.420591894232,0.428571428571429,30.9689681387795,NA,0.026329774199012,0.0334645227796676
"54","25","2019","CR->P",3,"Rhiz_epi",3.13097669160562,45.2050124675074,42.8316227992023,1.35529012079379,2.1594427244582,NA,-0.0907259421254924,0.148510208593579
"55","26","2017","CR->P",3,"Rhiz_epi",2.84603454725406,129.732502925286,124.628878028923,8.85039768960502,21.7268540759024,NA,-0.166161636593884,0.0652468298750125
"56","26","2018","CR->P",3,"Rhiz_epi",2.65638811423453,126.30301095309,122.154410806043,6.3945372280933,32.4638064971751,NA,-0.107710592535925,0.0862420097173541
"57","26","2019","CR->P",3,"Rhiz_epi",3.21058602490516,50.0082114985747,49.1311308327617,0.422535211267605,2.27272727272727,NA,-0.136805286873931,0.0959362384543754
"58","27","2017","CRP",4,"Pucc_epi",2.84183205604573,109.916269650605,103.005904764301,9.11623602621968,6.37890005288208,NA,-0.17611889192835,0.0664868058899476
"59","27","2018","CRP",4,"Pucc_epi",2.92874857324975,115.561690855496,113.581721672137,0,4.59938366718027,NA,-0.0288472072014613,0.030517892914974
"60","27","2019","CRP",4,"Pucc_epi",3.14891099310936,25.580520942427,23.7581766200827,0.96153846153846,0.860805860805861,NA,0.0145319816606801,0.258379315492244
"61","28","2017","CR->P",3,"Rhiz_epi",2.84404894542128,117.71089890301,110.575531196945,16.9229515361688,15.6189885933738,NA,-0.146525858548876,0.0934581157027304
"62","28","2018","CR->P",3,"Rhiz_epi",2.92941049521017,121.101762095279,119.227606689874,0.863486842105263,18.3863154853621,NA,-0.0498155575277015,0.176402491331001
"63","28","2019","CR->P",3,"Rhiz_epi",2.98362628712453,27.6684387527173,27.6684387527173,0,0,NA,-0.0269074161757171,0.281431411498516
"64","29","2017","C->R->P",2,"Never",2.84227634014766,142.198862954325,117.883205341497,23.6943140441154,59.6091535078625,NA,-0.176093014614495,0.0642300668791844
"65","29","2018","C->R->P",2,"Never",2.72702247776634,136.460928969692,126.702694186964,12.0348706121012,54.9103735324908,NA,0.524741204877286,-0.441971448574067
"66","29","2019","C->R->P",2,"Never",3.19117145572856,105.556424297852,95.9937340765652,8.83218151689705,11.1525258235264,NA,-0.18511433952017,0.0165584345846588
"67","3","2017","CRP",4,"Pucc_epi",3.06942139642056,106.093790062389,94.9996930431023,20.6943892460549,10.0430888369374,NA,-0.182146908957328,0.059066065547909
