"","Year","Month","Treatment","Plot","prevalence_within_plot","total_leaves","total_infected"
"960","18","March","CRP","64",0,56,0
"961","18","May","Always_sprayed","4",0.553571428571429,56,31
"962","18","May","Always_sprayed","10",0.5,64,32
"963","18","May","Always_sprayed","11",0.403225806451613,62,25
"964","18","May","Always_sprayed","19",0.353846153846154,65,23
"965","18","May","Always_sprayed","21",0.466666666666667,60,28
"966","18","May","Always_sprayed","22",0.593220338983051,59,35
"967","18","May","Always_sprayed","31",0.473684210526316,57,27
"968","18","May","Always_sprayed","36",0.423728813559322,59,25
"969","18","May","Always_sprayed","40",0.482758620689655,58,28
"970","18","May","Always_sprayed","43",0.525423728813559,59,31
"971","18","May","Always_sprayed","50",0.516129032258065,62,32
"972","18","May","Always_sprayed","52",0.622950819672131,61,38
"973","18","May","Always_sprayed","53",0.241935483870968,62,15
"974","18","May","Always_sprayed","56",0.53125,64,34
"975","18","May","Always_sprayed","57",0.645161290322581,62,40
"976","18","May","Always_sprayed","59",0.421052631578947,57,24
"977","18","May","Control","1",0.818181818181818,55,45
"978","18","May","Control","7",0.803571428571429,56,45
"979","18","May","Control","12",0.830508474576271,59,49
"980","18","May","Control","13",0.827586206896552,58,48
"981","18","May","Control","16",0.786885245901639,61,48
"982","18","May","Control","20",0.736842105263158,57,42
"983","18","May","Control","23",0.833333333333333,60,50
"984","18","May","Control","29",0.759259259259259,54,41
"985","18","May","Control","30",0.82,50,41
"986","18","May","Control","38",0.781818181818182,55,43
"987","18","May","Control","44",0.807017543859649,57,46
"988","18","May","Control","46",0.736842105263158,57,42
"989","18","May","Control","54",0.818181818181818,55,45
"990","18","May","Control","55",0.754098360655738,61,46
"991","18","May","Control","62",0.719298245614035,57,41
"992","18","May","Control","63",0.727272727272727,55,40
"993","18","May","CR_P","2",0.475409836065574,61,29
"994","18","May","CR_P","6",0.559322033898305,59,33
"995","18","May","CR_P","14",0.53968253968254,63,34
"996","18","May","CR_P","15",0.417910447761194,67,28
"997","18","May","CR_P","17",0.467741935483871,62,29
"998","18","May","CR_P","18",0.5,62,31
"999","18","May","CR_P","25",0.602941176470588,68,41
"1000","18","May","CR_P","26",0.564516129032258,62,35
"1001","18","May","CR_P","28",0.5,64,32
"1002","18","May","CR_P","34",0.416666666666667,60,25
"1003","18","May","CR_P","35",0.583333333333333,60,35
"1004","18","May","CR_P","37",0.533333333333333,60,32
"1005","18","May","CR_P","39",0.596774193548387,62,37
"1006","18","May","CR_P","47",0.430769230769231,65,28
"1007","18","May","CR_P","51",0.616666666666667,60,37
"1008","18","May","CR_P","61",0.412698412698413,63,26
"1009","18","May","CRP","3",0.580645161290323,62,36
"1010","18","May","CRP","5",0.46875,64,30
"1011","18","May","CRP","8",0.548387096774194,62,34
"1012","18","May","CRP","9",0.5,62,31
"1013","18","May","CRP","24",0.583333333333333,60,35
"1014","18","May","CRP","27",0.508474576271186,59,30
"1015","18","May","CRP","32",0.483870967741935,62,30
"1016","18","May","CRP","33",0.524590163934426,61,32
"1017","18","May","CRP","41",0.564516129032258,62,35
"1018","18","May","CRP","42",0.508474576271186,59,30
"1019","18","May","CRP","45",0.419354838709677,62,26
"1020","18","May","CRP","48",0.292307692307692,65,19
"1021","18","May","CRP","49",0.467741935483871,62,29
"1022","18","May","CRP","58",0.477611940298507,67,32
"1023","18","May","CRP","60",0.3125,64,20
"1024","18","May","CRP","64",0.233333333333333,60,14
"1025","18","November","Always_sprayed","4",0.0882352941176471,68,6
"1026","18","November","Always_sprayed","10",0.158730158730159,63,10
"1027","18","November","Always_sprayed","11",0.0149253731343284,67,1
"1028","18","November","Always_sprayed","19",0.0392156862745098,51,2
"1029","18","November","Always_sprayed","21",0.0303030303030303,66,2
"1030","18","November","Always_sprayed","22",0.032258064516129,62,2
"1031","18","November","Always_sprayed","31",0,52,0
"1032","18","November","Always_sprayed","36",0.0952380952380952,63,6
"1033","18","November","Always_sprayed","40",0.172413793103448,58,10
"1034","18","November","Always_sprayed","43",0.0806451612903226,62,5
"1035","18","November","Always_sprayed","50",0.0416666666666667,48,2
"1036","18","November","Always_sprayed","52",0.0192307692307692,52,1
"1037","18","November","Always_sprayed","53",0.113207547169811,53,6
"1038","18","November","Always_sprayed","56",0.112903225806452,62,7
"1039","18","November","Always_sprayed","57",0.0263157894736842,38,1
"1040","18","November","Always_sprayed","59",0.0357142857142857,56,2
"1041","18","November","Control","1",0.245614035087719,57,14
"1042","18","November","Control","7",0.259259259259259,54,14
"1043","18","November","Control","12",0.163934426229508,61,10
"1044","18","November","Control","13",0.111111111111111,63,7
"1045","18","November","Control","16",0.233333333333333,60,14
"1046","18","November","Control","20",0.2,55,11
"1047","18","November","Control","23",0.293103448275862,58,17
"1048","18","November","Control","29",0.163934426229508,61,10
"1049","18","November","Control","30",0.0392156862745098,51,2
"1050","18","November","Control","38",0.0833333333333333,48,4
"1051","18","November","Control","44",0.262295081967213,61,16
"1052","18","November","Control","46",0.181818181818182,44,8
"1053","18","November","Control","54",0.152173913043478,46,7
"1054","18","November","Control","55",0.365384615384615,52,19
"1055","18","November","Control","62",0.205128205128205,39,8
"1056","18","November","Control","63",0.227272727272727,44,10
"1057","18","November","CR_P","2",0.2,60,12
"1058","18","November","CR_P","6",0.185185185185185,54,10
